Date,Clicks,Impressions,CTR,Position
2026-03-12,0,4,0%,7.5
2026-03-13,0,0,,
2026-03-14,0,0,,
2026-03-15,0,0,,
2026-03-16,0,0,,
2026-03-17,0,1,0%,6
2026-03-18,0,1,0%,6
2026-03-19,0,0,,
2026-03-20,0,1,0%,4
2026-03-21,1,1,100%,12
2026-03-22,0,0,,
2026-03-23,0,3,0%,2.7
2026-03-24,0,0,,
2026-03-25,0,0,,
2026-03-26,0,2,0%,1
2026-03-27,0,2,0%,2.5
2026-03-28,0,1,0%,1
2026-03-29,0,0,,
2026-03-30,0,0,,
2026-03-31,0,4,0%,4
2026-04-01,0,0,,
2026-04-02,0,0,,
2026-04-03,0,5,0%,3.4
2026-04-04,0,3,0%,5.7
2026-04-05,0,4,0%,9.2
2026-04-06,0,2,0%,8
2026-04-07,0,0,,
2026-04-08,0,1,0%,12
2026-04-09,0,0,,
2026-04-10,1,1,100%,1
2026-04-11,0,3,0%,10.3
2026-04-12,0,0,,
2026-04-13,0,4,0%,3.8
2026-04-14,0,0,,
2026-04-15,0,0,,
2026-04-16,0,1,0%,12
2026-04-17,0,2,0%,8.5
2026-04-18,0,3,0%,8
2026-04-19,1,5,20%,12.4
2026-04-20,0,4,0%,8.8
2026-04-21,0,2,0%,1
2026-04-22,0,0,,
2026-04-23,0,1,0%,1
2026-04-24,1,2,50%,2
2026-04-25,0,1,0%,1
2026-04-26,0,1,0%,1
2026-04-27,0,0,,
2026-04-28,0,3,0%,13.3
2026-04-29,0,1,0%,1
2026-04-30,0,2,0%,11.5
2026-05-01,0,1,0%,2
2026-05-02,1,1,100%,11
2026-05-03,0,0,,
2026-05-04,0,1,0%,2
2026-05-05,0,2,0%,12.5
2026-05-06,0,0,,
2026-05-07,0,0,,
2026-05-08,0,1,0%,2
2026-05-09,0,1,0%,1
2026-05-10,0,0,,
2026-05-11,0,2,0%,1.5
2026-05-12,0,3,0%,2.3
2026-05-13,0,0,,
2026-05-14,0,1,0%,1
2026-05-15,0,0,,
2026-05-16,0,3,0%,7.7
2026-05-17,0,2,0%,4.5
2026-05-18,0,1,0%,3
2026-05-19,0,1,0%,1
2026-05-20,0,4,0%,3.5
2026-05-21,0,0,,
2026-05-22,1,9,11.11%,7.7
2026-05-23,0,2,0%,1
2026-05-24,1,2,50%,1.5
2026-05-25,0,3,0%,4.7
2026-05-26,0,3,0%,1
2026-05-27,0,2,0%,5.5
2026-05-28,1,3,33.33%,9
2026-05-29,0,3,0%,11
2026-05-30,0,0,,
2026-05-31,0,5,0%,7.2
2026-06-01,0,2,0%,16
2026-06-02,0,1,0%,2
2026-06-03,2,9,22.22%,8.2
2026-06-04,0,1,0%,1
2026-06-05,0,1,0%,9
2026-06-06,0,1,0%,3
2026-06-07,0,4,0%,12.2
2026-06-08,0,3,0%,39.3
2026-06-09,0,2,0%,1.5
2026-06-10,0,0,,
2026-06-11,1,4,25%,28.8